"week_ending","location","region","avg_price_nonorg","total_nonorg_units","total_nonorg_bag_units","total_org_units","total_org_bag_units","plu4046","plu4225","plu4770","small_nonorg_bag","large_nonorg_bag","xlarge_nonorg_bag","avg_price_org","plu94046","plu94225","plu94770","small_org_bag","large_org_bag","xlarge_org_bag","bulk_nonorg_gtin","bulk_org_gtin"
2017-01-15,"Boston","Northeast",1.3,577976.65,106575.34,17012.28,15684.88,5430.5,457448.44,8522.37,106091.75,483.59,0,1.88,12.3,1315.1,0,15554.34,130.54,0,NA,NA
2017-01-15,"Buffalo/Rochester","Northeast",1.29,168230.55,97842.61,4158.47,3966.33,2011.96,68322.14,53.84,96319.5,1523.11,0,1.58,7.31,184.83,0,3416.66,549.67,0,NA,NA
2017-01-15,"Charlotte","Midsouth",1.37,196897.85,62953.99,10672.07,5309.79,39546.13,84479.17,9918.56,52626.61,10327.38,0,1.5,148.64,4643.38,570.26,4702.52,607.27,0,NA,NA
2017-01-15,"Chicago","Great Lakes",1.23,776820.81,75362.2,38542.5,4086.11,78836.36,480071.92,142550.33,67302.01,1595.12,6465.07,1.85,78.31,34378.08,0,4086.11,0,0,NA,NA
2017-01-15,"Cincinnati/Dayton","Great Lakes",0.76,346523.78,216857.92,6349.77,756.09,2939.57,125731.86,994.43,29095.07,187759.83,3.02,1.88,364.39,5229.29,0,715.87,40.22,0,NA,NA
2017-01-15,"Columbus","Great Lakes",0.97,200226.42,75098.86,5148.98,2215.66,90931.56,32602.28,1593.72,65836.14,9154.39,108.33,1.73,626.06,2307.26,0,2172.89,42.77,0,NA,NA
2017-01-15,"Dallas/Ft. Worth","South Central",0.7,1389716.89,323455.14,19472.79,13957.79,750093.63,313392.54,2775.58,319826.47,3521.23,107.44,1.04,3979.48,1535.52,0,13871.35,86.44,0,NA,NA
2017-01-15,"Denver","West",1.04,808771.72,430361.23,50686.37,28624.59,147752.34,212522.91,18135.24,255414.77,174946.46,0,0.73,18780.82,3010.21,270.75,15918.63,12705.96,0,NA,NA
2017-01-15,"Detroit","Great Lakes",0.98,397115.64,193116.76,7875.36,953.2,124452.62,72303.07,7243.19,181789.4,11325.64,1.72,1.88,790.85,6131.31,0,937.88,15.32,0,NA,NA
2017-01-15,"Grand Rapids","Great Lakes",1.29,166158.43,55010.97,1427.36,393.33,935.22,107348.7,2863.54,49537.11,5423,50.86,1.75,60.33,973.7,0,393.33,0,0,NA,NA
2017-01-15,"Harrisburg/Scranton","Northeast",1.44,251547.43,77124.15,8630.41,8134.3,47536.54,126095.12,791.62,75330.56,1793.59,0,1.88,308.39,178.54,9.18,8134.3,0,0,NA,NA
2017-01-15,"Hartford/Springfield","Northeast",1.43,284386.03,48149.56,11203.27,6475.86,4665.17,223678.05,7893.25,46455.74,1319.66,374.16,2.43,119.46,4601.08,6.87,6277.53,198.33,0,NA,NA
2017-01-15,"Houston","South Central",0.53,1613159.67,291152.19,30698.94,22404.02,1134750.48,184545.5,2711.5,242009.67,49139.19,3.33,0.95,8281.17,13.75,0,22397.35,6.67,0,NA,NA
2017-01-15,"Indianapolis","Great Lakes",0.96,210793.64,91021.78,4021.54,2316.62,15258.94,102478.51,2034.41,45737.6,45282.71,1.47,1.31,168.82,1536.1,0,1279.52,1037.1,0,NA,NA
2017-01-15,"Jacksonville","Southeast",1.16,191122.29,80417.23,4618.57,4167.99,80023.35,30493.69,188.02,27774.46,52642.77,0,1.25,338.85,97.16,14.57,1172.22,2995.77,0,NA,NA
2017-01-15,"Las Vegas","West",0.78,419687.35,212872.74,9442.83,5582.41,118904.72,80217.63,7692.26,59471.06,153401.68,0,1.39,941.79,2918.63,0,5582.41,0,0,NA,NA
2017-01-15,"Los Angeles","California",0.76,3363407.98,1522819.94,86845.72,47358.47,1075572.75,703853.31,61161.98,1442445.76,59205.75,21168.43,1.3,13881.57,25602.56,3.12,46301.47,1057,0,NA,NA
2017-01-15,"Louisville","Midsouth",1.06,89361.43,43327.15,1959.1,626.67,2069.09,43683.9,281.29,17644.78,25682.37,0,1.6,13.85,1318.58,0,626.67,0,0,NA,NA
2017-01-15,"Miami/Ft. Lauderdale",NA,1.34,588482.19,210805.19,7707.31,7397.93,251140.35,125991.87,544.78,82722.7,128082.49,0,1.19,297.27,12.11,0,5116.66,2281.27,0,NA,NA
2017-01-15,"Nashville","Midsouth",0.89,251914.74,122107.34,2962.13,704.78,109163.63,20522.38,121.39,106434.47,15372.87,300,1.54,238.89,2018.46,0,73.89,630.89,0,NA,NA
