Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Raleigh/Greensboro,Weekly,"2021-01-11 00:00:00",Conventional,0.850074275,574413.56,279266.50,72409.98,3742.15,218994.92,,,
Richmond/Norfolk,Weekly,"2021-01-11 00:00:00",Conventional,0.870971897,394275.90,175251.29,128787.17,659.04,89578.39,,,
Roanoke,Weekly,"2021-01-11 00:00:00",Conventional,0.825809857,223085.09,109962.96,62913.13,37.00,50172.00,,,
Sacramento,Weekly,"2021-01-11 00:00:00",Conventional,1.114420371,573136.50,173139.36,279610.42,12790.53,107596.20,,,
"San Diego",Weekly,"2021-01-11 00:00:00",Conventional,1.168075115,602595.10,220879.62,168812.97,103964.11,108938.39,,,
"San Francisco",Weekly,"2021-01-11 00:00:00",Conventional,1.068050506,1043540.57,263005.07,619098.35,15265.96,146171.20,,,
Seattle,Weekly,"2021-01-11 00:00:00",Conventional,1.157514670,727598.25,204710.46,440173.59,4479.15,78235.05,,,
"South Carolina",Weekly,"2021-01-11 00:00:00",Conventional,0.818429039,629909.15,353245.88,63421.75,1066.85,212174.67,,,
Spokane,Weekly,"2021-01-11 00:00:00",Conventional,0.937284191,105915.79,37520.10,49650.84,31.50,18713.34,,,
"St. Louis",Weekly,"2021-01-11 00:00:00",Conventional,0.734030833,332563.55,207226.30,29988.69,78.80,95269.77,,,
Syracuse,Weekly,"2021-01-11 00:00:00",Conventional,1.014661568,120228.06,27378.59,42816.36,823.30,49209.81,,,
Tampa,Weekly,"2021-01-11 00:00:00",Conventional,0.779253904,708682.66,475067.29,21790.51,24.12,211800.73,,,
Toledo,Weekly,"2021-01-11 00:00:00",Conventional,0.843544376,166038.55,60887.23,60839.95,6774.28,37537.10,,,
"West Tex/New Mexico",Weekly,"2021-01-11 00:00:00",Conventional,0.687684346,928775.02,406922.21,170201.59,12524.17,339127.05,,,
Wichita,Weekly,"2021-01-11 00:00:00",Conventional,0.723742755,127011.78,69734.30,23204.21,20.99,34052.28,,,
California,Weekly,"2021-01-11 00:00:00",Conventional,1.092302569,7305333.58,2845001.28,2152753.34,959794.53,1347784.44,,,
"Great Lakes",Weekly,"2021-01-11 00:00:00",Conventional,0.909005621,5245629.02,2154802.80,1508395.12,372998.01,1209433.08,,,
Midsouth,Weekly,"2021-01-11 00:00:00",Conventional,0.904030743,4935644.59,2239861.89,1133848.51,13977.19,1547957.00,,,
Northeast,Weekly,"2021-01-11 00:00:00",Conventional,1.074509369,6586438.02,1046371.60,3486564.63,7295.55,2046206.24,,,
Plains,Weekly,"2021-01-11 00:00:00",Conventional,0.853519811,2605939.78,1279482.18,560207.22,3575.90,762674.48,,,
"South Central",Weekly,"2021-01-11 00:00:00",Conventional,0.670002641,6401753.56,3106948.37,1140912.18,96417.23,2057475.78,,,
Southeast,Weekly,"2021-01-11 00:00:00",Conventional,0.789197081,6433424.89,4119332.44,439682.26,2130.82,1872279.36,,,
West,Weekly,"2021-01-11 00:00:00",Conventional,0.894059044,8026504.08,2925925.02,3399195.85,145741.80,1555641.41,,,
"Total U.S.",Weekly,"2021-01-11 00:00:00",Conventional,0.905623095,47540667.51,19717725.59,13821559.11,1601931.03,12399451.78,,,
Albany,Weekly,"2021-01-11 00:00:00",Organic,1.268104158,5512.63,256.66,404.77,0.00,4851.19,,,
Atlanta,Weekly,"2021-01-11 00:00:00",Organic,1.315940779,52018.49,1651.34,18192.33,0.00,32174.82,,,
Baltimore/Washington,Weekly,"2021-01-11 00:00:00",Organic,1.156020643,113795.58,2141.47,5115.69,3.11,106535.31,,,
Birmingham/Montgomery,Weekly,"2021-01-11 00:00:00",Organic,1.111389220,17699.50,166.02,824.03,0.00,16709.45,,,
Boise,Weekly,"2021-01-11 00:00:00",Organic,1.535176061,7215.85,1032.17,2953.55,0.00,3230.13,,,
Boston,Weekly,"2021-01-11 00:00:00",Organic,1.595626701,45758.56,373.50,3181.74,0.00,42203.32,,,
Buffalo/Rochester,Weekly,"2021-01-11 00:00:00",Organic,1.431114745,25090.87,1216.15,134.44,5.13,23735.15,,,
Charlotte,Weekly,"2021-01-11 00:00:00",Organic,1.210434174,31520.98,575.44,4005.16,34.38,26905.98,,,
Chicago,Weekly,"2021-01-11 00:00:00",Organic,1.219170585,115438.19,9363.64,14812.22,0.00,91262.33,,,
Cincinnati/Dayton,Weekly,"2021-01-11 00:00:00",Organic,1.461749321,16991.08,1026.87,8993.27,0.00,6970.94,,,
Columbus,Weekly,"2021-01-11 00:00:00",Organic,1.441448211,14374.06,1346.77,6166.97,0.00,6860.31,,,
"Dallas/Ft. Worth",Weekly,"2021-01-11 00:00:00",Organic,1.163563143,85481.93,15358.03,9774.92,9533.73,50815.26,,,
Denver,Weekly,"2021-01-11 00:00:00",Organic,1.145873816,71114.00,37622.60,2073.85,0.00,31417.54,,,
Detroit,Weekly,"2021-01-11 00:00:00",Organic,1.109228471,37086.13,911.42,8091.59,0.00,28083.12,,,
"Grand Rapids",Weekly,"2021-01-11 00:00:00",Organic,1.094252210,11270.47,87.89,1108.71,0.00,10073.87,,,
Harrisburg/Scranton,Weekly,"2021-01-11 00:00:00",Organic,1.127269881,29712.06,383.74,470.66,0.00,28857.67,,,
Hartford/Springfield,Weekly,"2021-01-11 00:00:00",Organic,1.335829275,37509.63,619.53,6723.05,5.23,30161.82,,,
Houston,Weekly,"2021-01-11 00:00:00",Organic,1.302060570,24094.56,12520.47,1141.13,0.00,10432.97,,,
Indianapolis,Weekly,"2021-01-11 00:00:00",Organic,1.270583451,11735.27,384.06,3964.89,0.00,7386.32,,,
Jacksonville,Weekly,"2021-01-11 00:00:00",Organic,1.087756406,15791.22,142.36,259.45,0.00,15389.41,,,
"Las Vegas",Weekly,"2021-01-11 00:00:00",Organic,1.438462095,21034.25,7410.59,3088.80,0.00,10534.85,,,
"Los Angeles",Weekly,"2021-01-11 00:00:00",Organic,1.655254657,178645.41,65104.30,27222.86,8.88,86309.37,,,
Louisville,Weekly,"2021-01-11 00:00:00",Organic,1.376426399,9338.98,266.05,4325.58,0.00,4747.35,,,
"Miami/Ft. Lauderdale",Weekly,"2021-01-11 00:00:00",Organic,1.037762584,68381.45,2016.86,1352.12,0.00,65012.47,,,
Nashville,Weekly,"2021-01-11 00:00:00",Organic,1.260185378,27548.10,373.69,8883.67,0.00,18290.74,,,
"Northern New England",Weekly,"2021-01-11 00:00:00",Organic,1.709410803,20321.17,2100.95,789.14,0.00,17431.07,,,
"New Orleans/Mobile",Weekly,"2021-01-11 00:00:00",Organic,1.011023958,13481.83,106.82,411.87,0.00,12963.14,,,
"New York",Weekly,"2021-01-11 00:00:00",Organic,1.285649078,194714.38,9019.41,14250.88,13.68,171430.41,,,
Orlando,Weekly,"2021-01-11 00:00:00",Organic,1.014826451,41764.34,241.67,250.95,0.00,41271.72,,,
Peoria/Springfield,Weekly,"2021-01-11 00:00:00",Organic,1.228665403,7951.24,124.64,1322.92,0.00,6503.68,,,
Philadelphia,Weekly,"2021-01-11 00:00:00",Organic,1.264770015,54007.48,1878.93,5091.10,0.00,47037.45,,,
Phoenix/Tucson,Weekly,"2021-01-11 00:00:00",Organic,1.260723147,45111.60,10796.46,10241.40,0.00,24073.75,,,
Pittsburgh,Weekly,"2021-01-11 00:00:00",Organic,1.203683324,21287.65,2810.56,1.00,0.00,18476.09,,,
Portland,Weekly,"2021-01-11 00:00:00",Organic,1.607517274,53776.86,3933.58,33772.69,0.00,16070.60,,,
Providence,Weekly,"2021-01-11 00:00:00",Organic,1.362504791,7184.04,89.20,10.61,0.00,7084.23,,,
Raleigh/Greensboro,Weekly,"2021-01-11 00:00:00",Organic,1.282943123,33320.53,1045.78,4031.61,78.20,28164.95,,,
Richmond/Norfolk,Weekly,"2021-01-11 00:00:00",Organic,1.016565292,38456.53,359.63,4073.42,4.05,34019.43,,,
Roanoke,Weekly,"2021-01-11 00:00:00",Organic,1.102070555,18380.10,329.97,4296.72,0.00,13753.41,,,
Sacramento,Weekly,"2021-01-11 00:00:00",Organic,1.814237578,21333.28,5723.66,3421.61,0.00,12188.00,,,
"San Diego",Weekly,"2021-01-11 00:00:00",Organic,1.745735265,38129.48,10780.65,7616.96,11.34,19720.53,,,
"San Francisco",Weekly,"2021-01-11 00:00:00",Organic,1.824962682,77029.40,21547.31,8449.55,8.27,47024.26,,,
Seattle,Weekly,"2021-01-11 00:00:00",Organic,1.859131906,67992.07,3653.68,44465.55,5.39,19867.45,,,
"South Carolina",Weekly,"2021-01-11 00:00:00",Organic,1.203596007,38848.68,845.74,5356.45,60.82,32585.68,,,
Spokane,Weekly,"2021-01-11 00:00:00",Organic,1.670937008,6640.10,160.00,4200.52,0.00,2279.58,,,
"St. Louis",Weekly,"2021-01-11 00:00:00",Organic,1.188817813,17167.14,834.15,2067.93,0.00,14265.06,,,
Syracuse,Weekly,"2021-01-11 00:00:00",Organic,1.413752334,7973.61,477.56,141.75,0.00,7354.30,,,
Tampa,Weekly,"2021-01-11 00:00:00",Organic,0.923112217,38630.06,196.41,161.70,0.00,38271.96,,,
Toledo,Weekly,"2021-01-11 00:00:00",Organic,1.389646734,6238.39,343.69,2561.15,0.00,3333.55,,,
"West Tex/New Mexico",Weekly,"2021-01-11 00:00:00",Organic,1.034514547,89464.78,21602.13,7469.33,42091.98,18301.35,,,
Wichita,Weekly,"2021-01-11 00:00:00",Organic,1.246207894,5654.26,2456.19,9.85,0.00,3188.23,,,
California,Weekly,"2021-01-11 00:00:00",Organic,1.740611886,376178.67,123236.27,57994.25,34.38,194913.77,,,
"Great Lakes",Weekly,"2021-01-11 00:00:00",Organic,1.259101419,296746.01,25803.58,59181.52,0.00,211760.92,,,
Midsouth,Weekly,"2021-01-11 00:00:00",Organic,1.193494193,379099.43,7152.15,56046.99,180.80,315719.49,,,
Northeast,Weekly,"2021-01-11 00:00:00",Organic,1.335182877,494605.27,23884.35,34982.60,31.48,435706.84,,,
Plains,Weekly,"2021-01-11 00:00:00",Organic,1.202896459,83899.56,13680.47,3498.37,12.43,66708.29,,,
"South Central",Weekly,"2021-01-11 00:00:00",Organic,1.144418475,255273.44,43071.49,21730.43,50086.01,140385.51,,,
Southeast,Weekly,"2021-01-11 00:00:00",Organic,1.103462394,349291.13,6861.71,33764.44,152.31,308512.67,,,
West,Weekly,"2021-01-11 00:00:00",Organic,1.397372476,447133.29,112511.03,136393.73,25266.56,172961.97,,,
"Total U.S.",Weekly,"2021-01-11 00:00:00",Organic,1.321498743,2682226.80,356201.05,403592.32,75763.98,1846669.45,,,
Albany,Weekly,"2021-01-17 00:00:00",Conventional,1.199772489,154619.16,23981.65,102156.24,35.06,28446.21,,,
Atlanta,Weekly,"2021-01-17 00:00:00",Conventional,0.800913637,932032.83,580387.43,123938.23,53.10,227654.07,,,
Baltimore/Washington,Weekly,"2021-01-17 00:00:00",Conventional,1.026430505,1366544.73,515620.57,402370.86,3410.38,445142.91,,,
Birmingham/Montgomery,Weekly,"2021-01-17 00:00:00",Conventional,0.759545402,406323.71,255971.86,17107.27,23.14,133221.44,,,
Boise,Weekly,"2021-01-17 00:00:00",Conventional,1.020269332,139469.95,56850.01,40014.41,12873.94,29731.58,,,
Boston,Weekly,"2021-01-17 00:00:00",Conventional,1.227183872,801653.52,49633.68,489941.85,139.46,261938.53,,,
Buffalo/Rochester,Weekly,"2021-01-17 00:00:00",Conventional,0.925579709,304319.20,89583.37,65838.71,2749.63,146147.49,,,
Charlotte,Weekly,"2021-01-17 00:00:00",Conventional,0.946348590,446447.51,221206.29,57306.18,3809.76,164125.29,,,
Chicago,Weekly,"2021-01-17 00:00:00",Conventional,0.956241521,1497026.93,611177.91,475043.25,137076.65,273729.11,,,
Cincinnati/Dayton,Weekly,"2021-01-17 00:00:00",Conventional,0.881918708,382326.48,135582.26,207429.54,2976.56,36338.12,,,
Columbus,Weekly,"2021-01-17 00:00:00",Conventional,0.790039961,336849.18,155329.47,132980.04,430.24,48109.43,,,
"Dallas/Ft. Worth",Weekly,"2021-01-17 00:00:00",Conventional,0.705126618,1587623.67,852023.10,301453.13,18643.14,415504.30,,,
Denver,Weekly,"2021-01-17 00:00:00",Conventional,0.899332793,1216898.23,386277.85,582084.68,16296.37,232239.33,,,
Detroit,Weekly,"2021-01-17 00:00:00",Conventional,0.845230711,695008.30,199171.71,236921.57,151142.31,107772.71,,,
"Grand Rapids",Weekly,"2021-01-17 00:00:00",Conventional,0.908838261,337621.23,59481.45,87721.27,143940.32,46478.19,,,
Harrisburg/Scranton,Weekly,"2021-01-17 00:00:00",Conventional,0.928041433,506292.30,226503.11,112698.87,271.90,166818.41,,,
Hartford/Springfield,Weekly,"2021-01-17 00:00:00",Conventional,1.109453368,472960.19,86866.16,278925.74,308.12,106860.18,,,
Houston,Weekly,"2021-01-17 00:00:00",Conventional,0.763997757,1111386.26,628438.00,269621.81,4855.41,208471.04,,,
Indianapolis,Weekly,"2021-01-17 00:00:00",Conventional,0.804505616,349599.12,118718.82,160296.08,1780.22,68803.99,,,
Jacksonville,Weekly,"2021-01-17 00:00:00",Conventional,0.757979041,288147.19,191438.00,11811.36,76.02,84821.82,,,
"Las Vegas",Weekly,"2021-01-17 00:00:00",Conventional,0.927709168,382093.56,88600.12,158167.40,81.91,135244.12,,,
"Los Angeles",Weekly,"2021-01-17 00:00:00",Conventional,1.097905226,3456462.98,1515671.69,418994.28,796270.38,725526.63,,,
Louisville,Weekly,"2021-01-17 00:00:00",Conventional,0.891332336,152862.20,62278.87,49885.19,36.50,40661.63,,,
"Miami/Ft. Lauderdale",Weekly,"2021-01-17 00:00:00",Conventional,0.794000404,1277397.48,885440.83,47764.11,1634.26,342558.28,,,
Nashville,Weekly,"2021-01-17 00:00:00",Conventional,0.794474724,358784.57,216519.82,40987.26,7.05,101270.45,,,
"Northern New England",Weekly,"2021-01-17 00:00:00",Conventional,1.113348297,576738.36,40929.39,421157.21,77.54,114574.22,,,
"New Orleans/Mobile",Weekly,"2021-01-17 00:00:00",Conventional,0.717206902,367181.50,202860.39,25206.01,100.48,139014.62,,,
"New York",Weekly,"2021-01-17 00:00:00",Conventional,1.066338600,2593804.01,360395.57,1394281.89,19750.69,819375.86,,,
Orlando,Weekly,"2021-01-17 00:00:00",Conventional,0.727018599,778084.95,493364.17,19316.67,80.42,265323.70,,,
Peoria/Springfield,Weekly,"2021-01-17 00:00:00",Conventional,0.806743437,216333.19,90766.46,72309.52,3210.90,50046.31,,,
Philadelphia,Weekly,"2021-01-17 00:00:00",Conventional,0.931640895,848739.60,269114.15,288492.57,361.69,290771.20,,,
Phoenix/Tucson,Weekly,"2021-01-17 00:00:00",Conventional,0.749101739,1418431.83,709201.27,511400.33,4398.61,193431.62,,,
Pittsburgh,Weekly,"2021-01-17 00:00:00",Conventional,0.809572996,250169.05,165585.66,20571.72,24.93,63986.74,,,
Portland,Weekly,"2021-01-17 00:00:00",Conventional,0.922081095,898141.01,326735.89,381599.66,35543.06,154262.41,,,
Providence,Weekly,"2021-01-17 00:00:00",Conventional,1.174835657,130323.62,26368.91,69554.17,30.81,34369.73,,,
Raleigh/Greensboro,Weekly,"2021-01-17 00:00:00",Conventional,0.914758617,537803.19,265910.22,74710.70,3965.76,193216.51,,,
Richmond/Norfolk,Weekly,"2021-01-17 00:00:00",Conventional,0.934166562,380518.74,160518.72,119714.74,730.97,99554.31,,,
Roanoke,Weekly,"2021-01-17 00:00:00",Conventional,0.872328027,228562.90,109214.07,64891.75,27.72,54429.37,,,
Sacramento,Weekly,"2021-01-17 00:00:00",Conventional,1.288242678,521501.27,154034.22,244755.28,10022.95,112688.82,,,
"San Diego",Weekly,"2021-01-17 00:00:00",Conventional,1.167146451,600016.40,217720.78,156262.09,114342.72,111690.81,,,
"San Francisco",Weekly,"2021-01-17 00:00:00",Conventional,1.494505776,839079.66,202723.99,461754.80,15499.86,159101.01,,,
Seattle,Weekly,"2021-01-17 00:00:00",Conventional,1.155966926,697009.96,184244.09,441895.33,3851.69,67018.85,,,
"South Carolina",Weekly,"2021-01-17 00:00:00",Conventional,0.840517790,636101.57,372757.90,60407.39,1275.57,201660.71,,,
Spokane,Weekly,"2021-01-17 00:00:00",Conventional,0.985006416,98651.47,35699.11,49965.83,192.04,12794.49,,,
"St. Louis",Weekly,"2021-01-17 00:00:00",Conventional,0.719707780,340113.13,223844.26,19851.27,71.04,96346.56,,,
Syracuse,Weekly,"2021-01-17 00:00:00",Conventional,0.977713428,134392.27,37515.45,45363.06,658.73,50855.02,,,
Tampa,Weekly,"2021-01-17 00:00:00",Conventional,0.745111424,788711.47,541944.16,23546.37,45.05,223175.88,,,
Toledo,Weekly,"2021-01-17 00:00:00",Conventional,0.788831416,210548.26,72937.45,86747.21,19813.00,31050.60,,,
"West Tex/New Mexico",Weekly,"2021-01-17 00:00:00",Conventional,0.677437199,986366.77,426939.86,163416.51,11812.01,384198.40,,,
Wichita,Weekly,"2021-01-17 00:00:00",Conventional,0.700822295,125478.17,78619.70,14010.50,12.69,32835.28,,,
California,Weekly,"2021-01-17 00:00:00",Conventional,1.189119993,6858262.75,2635527.58,1808634.60,1038461.26,1375639.30,,,
"Great Lakes",Weekly,"2021-01-17 00:00:00",Conventional,0.857208571,6309971.57,2341356.12,2204920.68,686368.71,1077326.06,,,
Midsouth,Weekly,"2021-01-17 00:00:00",Conventional,0.925696424,5075838.25,2359032.72,1148876.00,14878.80,1553050.72,,,
Northeast,Weekly,"2021-01-17 00:00:00",Conventional,1.042167280,7187189.21,1403602.90,3521273.11,7201.88,2255111.32,,,
Plains,Weekly,"2021-01-17 00:00:00",Conventional,0.782460931,2774438.99,1412272.12,617531.16,2909.90,741725.82,,,
"South Central",Weekly,"2021-01-17 00:00:00",Conventional,0.727104031,6018427.53,3280750.44,955633.48,117652.25,1664391.36,,,
Southeast,Weekly,"2021-01-17 00:00:00",Conventional,0.779351976,6767694.00,4384137.56,412826.05,2324.93,1968405.45,,,
West,Weekly,"2021-01-17 00:00:00",Conventional,0.886782376,8100503.91,3166926.94,3221901.13,134206.91,1577468.93,,,
"Total U.S.",Weekly,"2021-01-17 00:00:00",Conventional,0.911708898,49092326.21,20983606.39,13891596.21,2004004.64,12213118.96,,,
Albany,Weekly,"2021-01-17 00:00:00",Organic,1.394194025,4634.66,365.90,358.40,0.00,3910.36,,,
Atlanta,Weekly,"2021-01-17 00:00:00",Organic,1.424957877,50482.36,302.45,19133.56,0.00,31046.35,,,
Baltimore/Washington,Weekly,"2021-01-17 00:00:00",Organic,1.188109779,100970.87,1923.77,6734.40,3.11,92309.59,,,
Birmingham/Montgomery,Weekly,"2021-01-17 00:00:00",Organic,1.182223586,16227.42,114.73,1054.28,0.00,15058.40,,,
Boise,Weekly,"2021-01-17 00:00:00",Organic,1.484344105,7067.33,270.47,3894.36,0.00,2902.49,,,
Boston,Weekly,"2021-01-17 00:00:00",Organic,1.643097656,43245.68,369.30,2879.61,0.00,39996.77,,,
Buffalo/Rochester,Weekly,"2021-01-17 00:00:00",Organic,1.488287339,20044.13,1159.67,85.56,9.24,18789.67,,,
Charlotte,Weekly,"2021-01-17 00:00:00",Organic,1.279294042,27704.07,551.97,3730.46,20.71,23400.93,,,
Chicago,Weekly,"2021-01-17 00:00:00",Organic,1.433382943,75362.91,12148.76,13061.78,0.00,50152.37,,,
Cincinnati/Dayton,Weekly,"2021-01-17 00:00:00",Organic,1.502791018,20036.70,634.57,13069.21,0.00,6332.93,,,
Columbus,Weekly,"2021-01-17 00:00:00",Organic,1.432951590,15301.13,1708.03,6744.93,0.00,6848.17,,,
"Dallas/Ft. Worth",Weekly,"2021-01-17 00:00:00",Organic,1.243973128,72093.62,10106.88,10866.66,1846.38,49273.70,,,
Denver,Weekly,"2021-01-17 00:00:00",Organic,1.219652184,56121.71,26095.31,1761.32,0.00,28265.08,,,
Detroit,Weekly,"2021-01-17 00:00:00",Organic,1.338706537,27146.65,750.85,11223.39,0.00,15172.41,,,
"Grand Rapids",Weekly,"2021-01-17 00:00:00",Organic,1.282887037,8419.46,78.73,824.81,0.00,7515.91,,,
Harrisburg/Scranton,Weekly,"2021-01-17 00:00:00",Organic,1.187133091,24974.87,739.77,516.39,0.00,23718.72,,,
Hartford/Springfield,Weekly,"2021-01-17 00:00:00",Organic,1.545957162,28414.09,1432.51,6321.37,0.00,20660.22,,,
Houston,Weekly,"2021-01-17 00:00:00",Organic,1.384724274,23007.87,10322.93,1351.53,0.00,11333.42,,,
Indianapolis,Weekly,"2021-01-17 00:00:00",Organic,1.336422487,12299.67,204.36,5950.89,0.00,6144.43,,,
Jacksonville,Weekly,"2021-01-17 00:00:00",Organic,1.116474027,13985.06,126.08,218.14,0.00,13640.84,,,
"Las Vegas",Weekly,"2021-01-17 00:00:00",Organic,1.466250559,21219.50,6702.74,3839.84,0.00,10676.92,,,
"Los Angeles",Weekly,"2021-01-17 00:00:00",Organic,1.639958829,186729.15,63445.32,34896.29,5.07,88382.47,,,
Louisville,Weekly,"2021-01-17 00:00:00",Organic,1.547098662,9361.12,152.98,4202.86,0.00,5005.28,,,
"Miami/Ft. Lauderdale",Weekly,"2021-01-17 00:00:00",Organic,1.010346385,68094.14,1228.70,1294.68,0.00,65570.77,,,
Nashville,Weekly,"2021-01-17 00:00:00",Organic,1.367241878,26157.04,421.42,8385.52,0.00,17350.11,,,
"Northern New England",Weekly,"2021-01-17 00:00:00",Organic,1.757291495,18826.68,2094.89,618.14,0.00,16113.64,,,
"New Orleans/Mobile",Weekly,"2021-01-17 00:00:00",Organic,0.995699592,12285.49,16.81,443.44,0.00,11825.24,,,
"New York",Weekly,"2021-01-17 00:00:00",Organic,1.427328944,157933.52,16625.55,17495.31,7.80,123804.85,,,
Orlando,Weekly,"2021-01-17 00:00:00",Organic,1.018530037,37614.71,242.27,237.30,0.00,37135.14,,,
Peoria/Springfield,Weekly,"2021-01-17 00:00:00",Organic,1.309742059,6536.98,114.17,1312.42,0.00,5110.38,,,
Philadelphia,Weekly,"2021-01-17 00:00:00",Organic,1.444981929,42754.39,4024.95,6039.65,0.00,32689.80,,,
Phoenix/Tucson,Weekly,"2021-01-17 00:00:00",Organic,1.264992129,43642.97,7966.43,11258.33,0.00,24418.21,,,
Pittsburgh,Weekly,"2021-01-17 00:00:00",Organic,1.218192894,19665.68,4395.29,0.00,0.00,15270.39,,,
Portland,Weekly,"2021-01-17 00:00:00",Organic,1.472005734,56888.32,4108.26,37072.25,0.00,15707.81,,,
Providence,Weekly,"2021-01-17 00:00:00",Organic,1.510886630,6468.86,43.17,9.09,0.00,6416.60,,,
Raleigh/Greensboro,Weekly,"2021-01-17 00:00:00",Organic,1.354183390,30102.66,967.21,4061.28,65.85,25008.32,,,
Richmond/Norfolk,Weekly,"2021-01-17 00:00:00",Organic,1.077305273,38436.84,383.28,3826.85,2.02,34224.69,,,
